,Title,Artist,Year,Link,Genre
67,꼭 나처럼... (슬픈 저주),뱅크,1996,https://www.melon.com/song/detail.htm?songId=14242,발라드
68,선택,터보,1996,https://www.melon.com/song/detail.htm?songId=1606450,댄스
69,다시 난 사는 거야,김종서,1996,https://www.melon.com/song/detail.htm?songId=524809,록/메탈
70,태극기,강산에,1996,https://www.melon.com/song/detail.htm?songId=38807,록/메탈
71,슬픈 기대,엄정화,1996,https://www.melon.com/song/detail.htm?songId=65956,댄스
72,천,룰라,1996,https://www.melon.com/song/detail.htm?songId=37171,댄스
73,UFO,패닉,1996,https://www.melon.com/song/detail.htm?songId=71554,록/메탈
74,넌 남이 아냐 (House Ver.),EOS(이오에스),1996,https://www.melon.com/song/detail.htm?songId=66824,댄스
75,천생연분,솔리드,1996,https://www.melon.com/song/detail.htm?songId=70602,"댄스, R&B/Soul"
76,비련,비비,1996,https://www.melon.com/song/detail.htm?songId=70798,댄스
77,그럴때마다,윤종신,1996,https://www.melon.com/song/detail.htm?songId=2743596,발라드
78,Love Is... (3+3=0),터보,1996,https://www.melon.com/song/detail.htm?songId=1606428,댄스
79,운명,신승훈,1996,https://www.melon.com/song/detail.htm?songId=67725,발라드
80,홀로서기,노이즈,1996,https://www.melon.com/song/detail.htm?songId=67072,댄스
81,혼자만의 겨울,강수지,1996,https://www.melon.com/song/detail.htm?songId=38919,발라드
82,널 위한 거야,미스 미스터,1996,https://www.melon.com/song/detail.htm?songId=70765,록/메탈
83,늘 지금처럼 (Come On Baby Tonight),이예린,1996,https://www.melon.com/song/detail.htm?songId=69464,발라드
84,가면놀이 (Remix),벅,1996,https://www.melon.com/song/detail.htm?songId=66872,댄스
85,미녀와 야수 (Ok?Ok?),DJ DOC,1996,https://www.melon.com/song/detail.htm?songId=1185239,댄스
86,가질 수 없는 너,뱅크,1996,https://www.melon.com/song/detail.htm?songId=14221,발라드
87,또,인순이,1996,https://www.melon.com/song/detail.htm?songId=3491878,발라드
88,너를 품에 안으면,컬트,1996,https://www.melon.com/song/detail.htm?songId=3052442,"인디음악, 록/메탈"
89,난 행복해,이소라,1996,https://www.melon.com/song/detail.htm?songId=1839641,발라드
90,마지막 너를 보내며 (Woman),페이지,1996,https://www.melon.com/song/detail.htm?songId=91579,발라드
91,인형의 꿈,일기예보,1996,https://www.melon.com/song/detail.htm?songId=71033,발라드
92,이젠 널 인정하려 해,뱅크,1996,https://www.melon.com/song/detail.htm?songId=14237,발라드
93,일생을,김현철,1996,https://www.melon.com/song/detail.htm?songId=68994,발라드
94,시대유감(時代遺憾),서태지와 아이들,1996,https://www.melon.com/song/detail.htm?songId=68266,록/메탈
95,안녕하세요,삐삐 밴드,1996,https://www.melon.com/song/detail.htm?songId=518549,"인디음악, 록/메탈"
96,I Miss You,서지원,1996,https://www.melon.com/song/detail.htm?songId=1876467,발라드
97,아담의 심리,박미경,1996,https://www.melon.com/song/detail.htm?songId=70036,댄스
98,다시 내곁에(이별 Part.2),김원준,1996,https://www.melon.com/song/detail.htm?songId=64487,댄스
99,착각,노이즈,1996,https://www.melon.com/song/detail.htm?songId=67078,댄스
100,나를 슬프게 하는 사람들,김경호,1997,https://www.melon.com/song/detail.htm?songId=38662,록/메탈
101,애송이의 사랑,양파,1997,https://www.melon.com/song/detail.htm?songId=70148,발라드
102,영원,조관우,1997,https://www.melon.com/song/detail.htm?songId=69198,발라드
103,그녀는 예뻤다,박진영,1997,https://www.melon.com/song/detail.htm?songId=91534,댄스
104,아름다운 구속,김종서,1997,https://www.melon.com/song/detail.htm?songId=38394,록/메탈
105,그때 또 다시 (Again),임창정,1997,https://www.melon.com/song/detail.htm?songId=526820,발라드
106,가족,이승환,1997,https://www.melon.com/song/detail.htm?songId=48914,발라드
107,Remember,포지션,1997,https://www.melon.com/song/detail.htm?songId=73896,록/메탈
108,기억해줘,이소라,1997,https://www.melon.com/song/detail.htm?songId=1839666,발라드
109,괜찮아,녹색지대,1997,https://www.melon.com/song/detail.htm?songId=1622523,발라드
110,재회(再會),K2 김성면,1997,https://www.melon.com/song/detail.htm?songId=72307,록/메탈
111,다시 만나 줘,업타운,1997,https://www.melon.com/song/detail.htm?songId=86317,랩/힙합
112,"Here, I Stand For You (Original Ver.)",넥스트,1997,https://www.melon.com/song/detail.htm?songId=37832,록/메탈
113,사랑을 위하여,김종환,1997,https://www.melon.com/song/detail.htm?songId=1877126,성인가요
114,Doc와 춤을,DJ DOC,1997,https://www.melon.com/song/detail.htm?songId=9390,댄스
115,맨발의 청춘,벅,1997,https://www.melon.com/song/detail.htm?songId=91245,댄스
116,인형의 꿈,일기예보,1997,https://www.melon.com/song/detail.htm?songId=71033,발라드
117,라일락이 질때,이선희,1997,https://www.melon.com/song/detail.htm?songId=91212,발라드
118,용서,이예린,1997,https://www.melon.com/song/detail.htm?songId=73199,댄스
119,해변의 여인,쿨 (COOL),1997,https://www.melon.com/song/detail.htm?songId=78853,댄스
120,나만의 슬픔,김돈규,1997,https://www.melon.com/song/detail.htm?songId=69343,발라드
121,암연,고한우,1997,https://www.melon.com/song/detail.htm?songId=74951,발라드
