,Artist,Genre,Title,Year
136,이미자,성인가요,첫눈 내린 거리,1968
137,김상희,성인가요,코스모스 피어있는 길,1968
138,이미자,성인가요,황혼의 부르스,1968
139,이영숙,성인가요,가을이 오기전에,1969
140,나훈아,성인가요,강촌에 살고싶네,1969
141,이영숙,성인가요,그림자,1969
142,키보이스,성인가요,그 사람,1969
143,김하정,성인가요,금산아가씨,1969
144,나훈아,성인가요,긴 세월,1969
145,김세레나,"국악, 국악가요",꽃타령,1969
146,나훈아,성인가요,님 그리워,1969
147,펄 시스터즈,R&B/Soul,님아,1969
148,신행일,성인가요,당신,1969
149,박건,성인가요,두글자,1969
150,펄 시스터즈,R&B/Soul,떠나야할 그 사람,1969
151,남진,성인가요,미워도 다시 한번,1969
152,이영숙,성인가요,미워하지 마세요,1969
153,유주용,성인가요,부모,1969
154,펄 시스터즈,성인가요,빗속의 여인,1969
155,김상희,성인가요,빨간 선인장,1969
156,배성,성인가요,사나이부르스,1969
157,남진,성인가요,사람나고 돈났지,1969
158,박건,성인가요,사랑은 계절따라,1969
159,나훈아,성인가요,사랑은 눈물의 씨앗,1969
160,유지성,성인가요,사랑의 역사,1969
161,패티김,발라드,사랑하는 마리아,1969
162,패티김,성인가요,서울의 찬가,1969
163,정은숙,성인가요,석류의 계절,1969
164,김세레나,"국악, 국악가요",성주풀이,1969
165,현미,성인가요,세,1969
166,한상일,성인가요,웨딩 드레스,1969
167,강소희,성인가요,잊을 수만 있다면,1969
168,문주란,성인가요,주란꽃,1969
169,최희준,성인가요,짧은 머리 짧은 치마,1969
170,나훈아,성인가요,천리길,1969
171,유주용,성인가요,추억의 소렌자라,1969
172,펄 시스터즈,R&B/Soul,커피 한 잔,1969
173,트윈 폴리오,포크/블루스,하얀 손수건,1969
174,이미자,성인가요,한번 준 마음인데,1969
175,남정희,성인가요,가는 정 오는 정,1970
176,정훈희,성인가요,그사람 바보야,1970
177,나훈아,성인가요,그정 못잊어,1970
178,이상열,성인가요,난이야,1970
179,김추자,록/메탈,늦기전에,1970
180,김부자,성인가요,당신은 철새,1970
181,패티김,성인가요,람디담디담,1970
182,배성,성인가요,망향,1970
183,배성,성인가요,무정한여인,1970
184,나훈아,성인가요,바보같은 사나이,1970
185,양미란,"발라드, 성인가요",범띠 아가씨,1970
186,투에이스,성인가요,비둘기 집,1970
187,패티김,성인가요,사랑이란 두글자,1970
188,패티김,성인가요,사랑하는 당신이,1970
189,조미미,성인가요,서산 갯마을,1970
190,김태희,성인가요,소양강처녀,1970
191,펄 시스터즈,댄스,슬퍼도 떠나주마,1970
192,이상열,성인가요,아마도 빗물이겠지,1970
193,이미자,성인가요,아씨,1970
194,Toi Et Moi,성인가요,약속,1970
195,김추자,록/메탈,월남에서 돌아온 김,1970
196,김상진,성인가요,이정표 없는 거리,1970
197,김부자,성인가요,일자,1970
198,나훈아,성인가요,좋았다 싫어지면,1970
199,히식스,록/메탈,사랑의,1970
200,트윈 폴리오,포크/블루스,축제의 노래,1970
201,나훈아,성인가요,가지마오,1971
202,김상진,성인가요,고향아줌마,1971
203,남상규,성인가요,고향의 강,1971
